Symbol	Module
HSD17B11	10
DBT	10
GSR	10
BCKDHB	10
HSD17B10	10
G6PC	10
ALDH5A1	10
C2orf81	10
ALDH16A1	10
FUK	10
ILVBL	10
HMGCL	10
MLYCD	10
CLYBL	10
PCCA	10
BDH1	10
AGL	10
ACSM1	10
ABHD14A	10
ACAD8	10
ACAD9	10
ACOX3	10
ACSF3	10
ACADS	10
AUH	10
ACSS3	10
LILRB2	11
PSTPIP1	11
TNFSF13B	11
IL17RA	11
ITGAX	11
TNFRSF1B	11
FCGR2A	11
PLEK	11
MYO1F	11
FGL2	11
ITGB2	11
ITGAM	11
FCGR3A	11
SIGLEC5	11
TYROBP	11
TREM1	11
OSCAR	11
FCGR3B	11
FCER1G	11
FPR1	11
MS4A7	11
NLRP3	11
SELL	11
KLRB1	11
CD53	11
LCP2	11
S100A9	11
CLEC4D	11
S100A8	11
S100A12	11
CLEC4E	11
IL1R2	11
CTSS	11
TAGAP	11
MMP25	11
GIMAP4	11
P2RY13	11
GMFG	11
SELPLG	11
PLCG2	11
SRGN	11
NCF2	11
FCN1	11
GZMK	11
GZMA	11
CCL3	11
SLC15A3	11
RASGRP4	11
B3GNT8	11
LRRC25	11
C10orf54	11
CXCR1	11
SLC7A7	11
HCLS1	11
CSF3R	11
SLA	11
S1PR4	11
VNN2	11
CD163	11
CASP1	11
FYB	11
EVI2B	11
LAPTM5	11
MNDA	11
CYTH4	11
GBP2	11
NCF4	11
F13A1	11
CD37	11
GIMAP5	11
ARHGAP25	11
CD14	11
ARHGAP9	11
CFP	11
ALOX5AP	11
CCL4	11
AMICA1	11
AQP9	11
ALOX5	11
ADAM8	11
SH3GL1	12
RYR1	12
TNFSF14	12
LAT2	12
ZBP1	12
MCL1	12
TMPRSS11D	12
LBR	12
EAPP	12
RPL22	12
OMP	12
RHBDF2	12
MTR	12
CKAP5	12
MST1R	12
NPL	12
ENG	12
SERPINB6	12
TTL	12
LGI1	12
LMNA	12
TTC37	12
HADH	12
SNRPE	12
IDH1	12
ENAM	12
IKBKAP	12
DDX3Y	12
KIN	12
SAT1	12
NF2	12
PRDM2	12
SGSM3	12
NT5E	12
RBM8A	12
CTNNBL1	12
DIEXF	12
NDNF	12
GET4	12
ZNHIT2	12
LIPG	12
BCR	12
S100A6	12
PDXP	12
ASPRV1	12
GIMAP8	12
C21orf59	12
IK	12
FXYD5	12
APOF	12
EPHX2	12
DYSF	12
APBB1	12
ITLN1	12
ACOT7	12
ALKBH7	12
ABR	12
ACSM1	12
SH3GL1	13
RYR1	13
TNFSF14	13
LAT2	13
ZBP1	13
MCL1	13
LBR	13
EAPP	13
PLEKHM3	13
RPL22	13
OMP	13
RHBDF2	13
MTR	13
MST1R	13
NPL	13
ENG	13
SERPINB6	13
TTL	13
LGI1	13
LMNA	13
NLRP3	13
TTC37	13
HADH	13
IDH1	13
ELK3	13
ENAM	13
SCARA5	13
KIN	13
SAT1	13
PRDM2	13
NT5E	13
RBM8A	13
CTNNBL1	13
SAV1	13
DIEXF	13
NDNF	13
GET4	13
LIPG	13
SPNS1	13
PDXP	13
ASPRV1	13
IK	13
